Member,Length,OperationType,Position,EndPosition,Tool,Notes
GF-NLBW-89.075/N28-S1,2717,,,,,
GF-NLBW-89.075/N28-S1,2717,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S1,2717,DIMPLE_SLOT,296,,,SERVICE_HOLE
GF-NLBW-89.075/N28-S1,2717,DIMPLE_SLOT,446,,,SERVICE_HOLE
GF-NLBW-89.075/N28-S1,2717,DIMPLE,1325.5,,,
GF-NLBW-89.075/N28-S1,2717,DIMPLE,2700.5,,,
GF-NLBW-89.075/N28-S1,2717,SWAGE,0,39,,
GF-NLBW-89.075/N28-S1,2717,LIP_CUT,1303,1348,,
GF-NLBW-89.075/N28-S1,2717,SWAGE,2678,2717,,
GF-NLBW-89.075/N28-B1,107,,,,,
GF-NLBW-89.075/N28-B1,107,BOLTA,8,,,
GF-NLBW-89.075/N28-B1,107,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-B1,107,BOLT,53.68,,,
GF-NLBW-89.075/N28-B1,107,DIMPLE,90.5,,,
GF-NLBW-89.075/N28-B1,107,LIP_CUT,0,39,,
GF-NLBW-89.075/N28-B1,107,LIP_CUT,68,107,,
GF-NLBW-89.075/N28-N1,107,,,,,
GF-NLBW-89.075/N28-N1,107,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-N1,107,DIMPLE,90.5,,,
GF-NLBW-89.075/N28-N1,107,SWAGE,0,39,,
GF-NLBW-89.075/N28-N1,107,SWAGE,68,107,,
GF-NLBW-89.075/N28-T1,1712,,,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,90.5,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,405.27,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,711.01,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,1175.76,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,1631.5,,,
GF-NLBW-89.075/N28-T1,1712,DIMPLE,1695.5,,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,0,39,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,68,113,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,382.77,427.77,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,688.51,733.51,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,1153.26,1198.26,,
GF-NLBW-89.075/N28-T1,1712,LIP_CUT,1609,1712,,
GF-NLBW-89.075/N28-S2,2717,,,,,
GF-NLBW-89.075/N28-S2,2717,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S2,2717,DIMPLE,57.5,,,
GF-NLBW-89.075/N28-S2,2717,DIMPLE,1325.5,,,
GF-NLBW-89.075/N28-S2,2717,DIMPLE,2436.5,,,
GF-NLBW-89.075/N28-S2,2717,DIMPLE,2700.5,,,
GF-NLBW-89.075/N28-S2,2717,SWAGE,0,80,,
GF-NLBW-89.075/N28-S2,2717,LIP_CUT,1303,1348,,
GF-NLBW-89.075/N28-S2,2717,SWAGE,2414,2459,,
GF-NLBW-89.075/N28-S2,2717,SWAGE,2678,2717,,
GF-NLBW-89.075/N28-B2,1574,,,,,
GF-NLBW-89.075/N28-B2,1574,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-B2,1574,DIMPLE,1557.5,,,
GF-NLBW-89.075/N28-B2,1574,NOTCH,0,39,,
GF-NLBW-89.075/N28-B2,1574,LIP_CUT,0,39,,
GF-NLBW-89.075/N28-B2,1574,NOTCH,1535,1574,,
GF-NLBW-89.075/N28-B2,1574,LIP_CUT,1535,1574,,
GF-NLBW-89.075/N28-H1,1574,,,,,
GF-NLBW-89.075/N28-H1,1574,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-H1,1574,DIMPLE,331.27,,,
GF-NLBW-89.075/N28-H1,1574,DIMPLE,637.01,,,
GF-NLBW-89.075/N28-H1,1574,DIMPLE,1101.76,,,
GF-NLBW-89.075/N28-H1,1574,DIMPLE,1557.5,,,
GF-NLBW-89.075/N28-H1,1574,NOTCH,0,39,,
GF-NLBW-89.075/N28-H1,1574,LIP_CUT,0,39,,
GF-NLBW-89.075/N28-H1,1574,LIP_CUT,308.77,353.77,,
GF-NLBW-89.075/N28-H1,1574,LIP_CUT,614.51,659.51,,
GF-NLBW-89.075/N28-H1,1574,LIP_CUT,1079.26,1124.26,,
GF-NLBW-89.075/N28-H1,1574,NOTCH,1535,1574,,
GF-NLBW-89.075/N28-H1,1574,LIP_CUT,1535,1574,,
GF-NLBW-89.075/N28-S3,297,,,,,
GF-NLBW-89.075/N28-S3,297,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S3,297,DIMPLE,280.5,,,
GF-NLBW-89.075/N28-S3,297,SWAGE,0,39,,
GF-NLBW-89.075/N28-S3,297,SWAGE,258,297,,
GF-NLBW-89.075/N28-S4,297,,,,,
GF-NLBW-89.075/N28-S4,297,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S4,297,DIMPLE,280.5,,,
GF-NLBW-89.075/N28-S4,297,SWAGE,0,39,,
GF-NLBW-89.075/N28-S4,297,SWAGE,258,297,,
GF-NLBW-89.075/N28-S5,297,,,,,
GF-NLBW-89.075/N28-S5,297,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S5,297,DIMPLE,280.5,,,
GF-NLBW-89.075/N28-S5,297,SWAGE,0,39,,
GF-NLBW-89.075/N28-S5,297,SWAGE,258,297,,
GF-NLBW-89.075/N28-S6,2717,,,,,
GF-NLBW-89.075/N28-S6,2717,DIMPLE,16.5,,,
GF-NLBW-89.075/N28-S6,2717,DIMPLE,57.5,,,
